portal,serial_no,ministry_department_organisation,officer_name_designation,address,phone_fax_email,source_url,fetched_at_utc
CPGRAMS Appeal,18,Department of Expenditure,Shri Pradeep Kumar Singh Joint Secretary E.Coord,"D/o Expenditure Room No.74-B, North Block, New Delhi",01123093290 singh.pk[at]nic[dot]in,https://pgportal.gov.in/Home/NodalAuthorityForAppeal,2026-08-23T06:45:58.414113+00:00
CPGRAMS Appeal,19,Department of Fertilizers,Shri Kuntal Sensarma Sr. Economic Advisor,"23032, Kartavya Bhawan-2, Dr Rajendra Prasad Road, New Delhi 110001",01124014806 Sensarma.kuntal[at]gov[dot]in,https://pgportal.gov.in/Home/NodalAuthorityForAppeal,2026-08-23T06:45:58.414113+00:00
CPGRAMS Appeal,20,Department of Financial Services (Banking Division),Sh HARI HAR MISHRA ADDITIONAL SECRETARY,"Department of Financial Services, Jeevan Deep Builiding, New Delhi",01123346785 mishrahh[at]nic[dot]in,https://pgportal.gov.in/Home/NodalAuthorityForAppeal,2026-08-23T06:45:58.414113+00:00
CPGRAMS Appeal,21,Department of Financial Services (Insurance Division),Sh Harihar Mishra Additional Secretary,"Department of Financial Services, Jeevan Deep Builiding, New Delhi",01123346785 mishrahh[at]nic[dot]in,https://pgportal.gov.in/Home/NodalAuthorityForAppeal,2026-08-23T06:45:58.414113+00:00
CPGRAMS Appeal,22,Department of Financial Services (Pension Reforms),Shri Samir Kumar Economic Advisor,"Department of Financial Services - Pension Reforms, Room No. 3, 3rd Floor, Jeevan Deep Building, Sansad Marg, New Delhi",01123748774 ea1-dfs[at]gov[dot]in,https://pgportal.gov.in/Home/NodalAuthorityForAppeal,2026-08-23T06:45:58.414113+00:00
CPGRAMS Appeal,23,Department of Fisheries,Sagar Mehra Joint Secretary,Room No. 482 Krishi Bhawan New Delhi,011-23383781 sagar.mehra[at]nic[dot]in,https://pgportal.gov.in/Home/NodalAuthorityForAppeal,2026-08-23T06:45:58.414113+00:00
CPGRAMS Appeal,24,Department of Food and Public Distribution,Ms. Nandita Mishra Sr. Economic Advisor,"Department of Food and Public Distribution Room No.194, Krishi Bhawan, New Delhi",01123070371 nandita.mishra[at]nic[dot]in,https://pgportal.gov.in/Home/NodalAuthorityForAppeal,2026-08-23T06:45:58.414113+00:00
CPGRAMS Appeal,25,Department of Health & Family Welfare,Sh Elangbam Robert Singh Joint Secretary,"Department of Health and Family Welfare, Nirman Bhawan, New Delhi",01123063276 Robert.elangbam[at]gov[dot]in,https://pgportal.gov.in/Home/NodalAuthorityForAppeal,2026-08-23T06:45:58.414113+00:00
CPGRAMS Appeal,26,Department of Health Research,Shri Dhananjay Prasad Singh Deputy Secretary,"Department of Health Research, Room No. 225, Indian Red Cross Society Building, 1, Red Cross Road, NEW DELHI",01123736218 dpsingh[at]gov[dot]in,https://pgportal.gov.in/Home/NodalAuthorityForAppeal,2026-08-23T06:45:58.414113+00:00
CPGRAMS Appeal,27,Department of Higher Education,Sh. Ashish V Gawai Joint Secretary,"Room no. 22032, Kartavaya Bhawan- 2, M/o Education, D/o Higher Education,New Delhi",01124015032 js.pmusha[at]nic[dot]in,https://pgportal.gov.in/Home/NodalAuthorityForAppeal,2026-08-23T06:45:58.414113+00:00
CPGRAMS Appeal,28,Department of Investment & Public Asset Management,Smt. Param Sen Additional Secretary,"DIPAM Room No.423 , 4th Floor Block No. 14 CGO Complex, Lodhi Road New Delhi",01124368037 sen.parama68[at]gov[dot]in,https://pgportal.gov.in/Home/NodalAuthorityForAppeal,2026-08-23T06:45:58.414113+00:00
CPGRAMS Appeal,29,Department of Justice,Suresh Kumar Joint Secretary,"26, MAN SINGH ROAD, NEW DELHI",01123072142 jsnm-jr-doj[at]gov[dot]in,https://pgportal.gov.in/Home/NodalAuthorityForAppeal,2026-08-23T06:45:58.414113+00:00
CPGRAMS Appeal,30,Department of Land Resources,Shri P K Abdul Kareem Economic Adviser,"Department of Land Resources, Room No. 12, Ground Floor, NBO Building, Nirman Bhawan, New Delhi",01123062454 pka.kareem[at]nic[dot]in,https://pgportal.gov.in/Home/NodalAuthorityForAppeal,2026-08-23T06:45:58.414113+00:00
CPGRAMS Appeal,31,Department of Military Affairs,Mr. Anil Kumar Chhapolia Joint Secretary - Estt and Coord,"Department of Military Affairs, Room No.97, South Block, New Delhi",01123011410 jsg[at]nic[dot]in,https://pgportal.gov.in/Home/NodalAuthorityForAppeal,2026-08-23T06:45:58.414113+00:00
CPGRAMS Appeal,32,Department of Official Language,Dr. Nidhi Pandey Joint Secretary,"NDCC-II Building, 4th Floor, Jai Singh Road, New Delhi",01123438130 jsol[at]mha.gov[dot]in,https://pgportal.gov.in/Home/NodalAuthorityForAppeal,2026-08-23T06:45:58.414113+00:00
CPGRAMS Appeal,33,Department of Pension and Pensioners Welfare,Dr. Pramod Kumar Director,DoPPW,01124654734 pramod.kumar79[at]gov[dot]in,https://pgportal.gov.in/Home/NodalAuthorityForAppeal,2026-08-23T06:45:58.414113+00:00
CPGRAMS Appeal,34,Department of Personnel and Training,Shri S D Sharma Joint Secretary,"Room No. 31035, Kartavya Bhavan-03, New Delhi",01124010567 js.admn-dopt[at]gov[dot]in,https://pgportal.gov.in/Home/NodalAuthorityForAppeal,2026-08-23T06:45:58.414113+00:00
CPGRAMS Appeal,35,Department of Pharmaceuticals,Sh. Aman Sharma Joint Secretary,"348, A Wing Shastri Bhawan New Delhi-110001",01123074010 head-coordination[at]pharma-dept.gov[dot]in,https://pgportal.gov.in/Home/NodalAuthorityForAppeal,2026-08-23T06:45:58.414113+00:00
CPGRAMS Appeal,36,Department of Posts,Ms. Mrinalini Srivastava DDG PG QA and I,Dak Bhawan,01123096088 ddgpgq[at]indiapost.gov[dot]in,https://pgportal.gov.in/Home/NodalAuthorityForAppeal,2026-08-23T06:45:58.414113+00:00
CPGRAMS Appeal,37,Department of Revenue,Shri Balasubramanian Krishnamurthy Joint Secretary,"D/o Revenue, Room No. 46, North Block, New Delhi",01123095358 jsrev[at]gov[dot]in,https://pgportal.gov.in/Home/NodalAuthorityForAppeal,2026-08-23T06:45:58.414113+00:00
CPGRAMS Appeal,38,Department of Rural Development,Ms. Kalyani Mishra Economic Advisor,"Ministry of Rural Development, DoRD India Habitat Centre, New Delhi",01123386173 eansap-mord[at]nic[dot]in,https://pgportal.gov.in/Home/NodalAuthorityForAppeal,2026-08-23T06:45:58.414113+00:00
CPGRAMS Appeal,39,Department of School Education and Literacy,DR. AMARPREET DUGGAL Joint Secretary Coord,"Room No.107 A-D Wing, Shastri Bhawan, New Delhi",01123386232 jsad-moe[at]gov[dot]in,https://pgportal.gov.in/Home/NodalAuthorityForAppeal,2026-08-23T06:45:58.414113+00:00
CPGRAMS Appeal,40,Department of Science and Technology,A Dhanalakshmi Joint Secretary,"Department of Science and Technology, Technology Bhavan, New Mehrauli Road, New Delhi-110016",01126516077 a.dhanlakshmi[at]nic[dot]in,https://pgportal.gov.in/Home/NodalAuthorityForAppeal,2026-08-23T06:45:58.414113+00:00
CPGRAMS Appeal,41,Department of Scientific & Industrial Research,Shri Surinder Pal Singh Joint Secretary,"Room No. 517, 5th Floor, DST/DSIR Building, Technology Bhawan, Mehrauli Road, New Delhi",01126590257 surinder.singh66[at]gov[dot]in,https://pgportal.gov.in/Home/NodalAuthorityForAppeal,2026-08-23T06:45:58.414113+00:00
CPGRAMS Appeal,42,Department of Social Justice and Empowerment,Shri Vinesh Pachnanda Deputy Secretary,"Pt. Deendayal Antyodaya Bhawan, CGO Complex, New Delhi.",01124369837 vinesh.pachnanda[at]nic[dot]in,https://pgportal.gov.in/Home/NodalAuthorityForAppeal,2026-08-23T06:45:58.414113+00:00
CPGRAMS Appeal,43,Department of Space,Swarnashree Rao Rajashekar Joint Secretary Personnel,Department of Space Antriksh Bhawan New B.E.L.Road Bengaluru,08022175401 pgdos[at]isro.gov[dot]in,https://pgportal.gov.in/Home/NodalAuthorityForAppeal,2026-08-23T06:45:58.414113+00:00
CPGRAMS Appeal,44,Department of Sports,Sh. Kunal JS JSSports Development,"D/o Sports Room No. 504-B, Shastri Bhawan, New Delhi",01123384152 js-develop-sports[at]gov[dot]in,https://pgportal.gov.in/Home/NodalAuthorityForAppeal,2026-08-23T06:45:58.414113+00:00
CPGRAMS Appeal,45,Department of Telecommunications,Sh Jayant Kumar Sr Deputy Director General - Public Grievances,"Department of TelecommunicationsRoom No 612, Manager DoorsancharBhawan,Old Minto Road, New Delhi",01123221231 ddgpg-dot[at]nic[dot]in,https://pgportal.gov.in/Home/NodalAuthorityForAppeal,2026-08-23T06:45:58.414113+00:00
CPGRAMS Appeal,46,Department of Youth Affairs,Shiv Ratan Joint Secretary,"Ministry of Youth Affairs and Sports, Room No. 6204, Netaji Nagar, New Delhi",01124103299 js.dya[at]gov[dot]in,https://pgportal.gov.in/Home/NodalAuthorityForAppeal,2026-08-23T06:45:58.414113+00:00
CPGRAMS Appeal,47,Legislative Department,T S Muralidharan Joint Secretary & Legislative Counsel,"Room No. 24005, 4th Floor, Kartavya Bhavan 2, New Delhi",01124016064 muralidharan.ts[at]nic[dot]in,https://pgportal.gov.in/Home/NodalAuthorityForAppeal,2026-08-23T06:45:58.414113+00:00
CPGRAMS Appeal,48,Ministry of Ayush,Dr. M.A. Qasmi Adviser Unani,"Ministry of Ayush, AYUSH BHAWAN, B Block, GPO Complex, INA, New Delhi",01124651966 mukhtar.qasmi[at]gov[dot]in,https://pgportal.gov.in/Home/NodalAuthorityForAppeal,2026-08-23T06:45:58.414113+00:00
CPGRAMS Appeal,49,Ministry of Civil Aviation,Ms. Priyanka Das Joint Secretary,"M/o Civil Aviation, Room No.354, 3rd floor Floor, B-Block,Rajiv Gandhi Bhawan, Safdarjung Airport,New Delhi",01124616303 aapg-moca[at]gov[dot]in,https://pgportal.gov.in/Home/NodalAuthorityForAppeal,2026-08-23T06:45:58.414113+00:00
CPGRAMS Appeal,50,Ministry of Cooperation,Shri Pankaj Kumar Bansal Additional Secretary,Delhi,01120849005 bansalpk[at]ias.nic[dot]in,https://pgportal.gov.in/Home/NodalAuthorityForAppeal,2026-08-23T06:45:58.414113+00:00
CPGRAMS Appeal,51,Ministry of Corporate Affairs,Sh. Kailash Chand Meena Director Public Grievances,"Ministry of Corporate Affairs, Shastri Bhawan , New Delhi at -DGCoA Kota House , New Delhi",01123389602 santosh.kumar[at]mca.gov[dot]in,https://pgportal.gov.in/Home/NodalAuthorityForAppeal,2026-08-23T06:45:58.414113+00:00
CPGRAMS Appeal,52,Ministry of Culture,Gurmeet Singh Chawla Joint Secretary,ASI HQ,01123075342 gurmeet.chawla[at]gov[dot]in,https://pgportal.gov.in/Home/NodalAuthorityForAppeal,2026-08-23T06:45:58.414113+00:00
CPGRAMS Appeal,53,Ministry of Development of North Eastern Region,Mr. Nilambuj Sharan Sr. Economic Adviser,"M/o Development of North East Region, Vigyan Bhawan Annexe, New Delhi",011-23022386 nilambuj.sharan[at]nic[dot]in,https://pgportal.gov.in/Home/NodalAuthorityForAppeal,2026-08-23T06:45:58.414113+00:00
CPGRAMS Appeal,54,Ministry of Drinking Water and Sanitation,Shri Vikash Kumar Dubey Deputy Director General,"6th floor, Pt. Deendayal Antyodaya Bhawan, CGO Complex, Lodhi Road, New Delhi",01124369832 vikash.dubey[at]nic[dot]in,https://pgportal.gov.in/Home/NodalAuthorityForAppeal,2026-08-23T06:45:58.414113+00:00
CPGRAMS Appeal,55,Ministry of Earth Sciences,Sreenivasa Rao Gangi Reddy Joint Secretary,"Ministry of Earth Science Room No.102, Prithvi Bhawan, Lodhi Road, New Delhi",01124629528 js[at]moes.gov[dot]in,https://pgportal.gov.in/Home/NodalAuthorityForAppeal,2026-08-23T06:45:58.414113+00:00
CPGRAMS Appeal,56,Ministry of Electronics & Information Technology,Sh. Sudeep Shrivastava Joint Secretary and GC,"6, CGO Complex, Electronics Niketan, New Delhi",01124301815 s.sudeep[at]gov[dot]in,https://pgportal.gov.in/Home/NodalAuthorityForAppeal,2026-08-23T06:45:58.414113+00:00
CPGRAMS Appeal,57,"Ministry of Environment, Forest and Climate Change",Shri Satyajit Mishra Joint Secretary,"1st Floor, Agni Wing, Indira Paryawaran Bhawan, Jor Bagh, New Delhi",01120819232 satyajit.mishra[at]nic[dot]in,https://pgportal.gov.in/Home/NodalAuthorityForAppeal,2026-08-23T06:45:58.414113+00:00
CPGRAMS Appeal,58,Ministry of External Affairs,Dr. Binoy George Joint Secretary CPV,"Ministry of External Affairs, CPV Division, Patiala House Annexe, TilakMarg, New Delhi",01123384529 jscpv[at]mea.gov[dot]in,https://pgportal.gov.in/Home/NodalAuthorityForAppeal,2026-08-23T06:45:58.414113+00:00
CPGRAMS Appeal,59,Ministry of Food Processing Industries,Shri Ranjit Singh Joint Secretary,"Ministry of Food Processing Industries, Panchsheel Bhawan, August Kranti Marg, New Delhi",01126492176 singhranjit[at]cag.gov[dot]in,https://pgportal.gov.in/Home/NodalAuthorityForAppeal,2026-08-23T06:45:58.414113+00:00
CPGRAMS Appeal,60,Ministry of Heavy Industries,Dr Renuka Mishra Economic Adviser,"Department of Heavy Industries Room No. 123-B, Udyog Bhawan New Delhi",01123062714 ea.dhi[at]nic[dot]in,https://pgportal.gov.in/Home/NodalAuthorityForAppeal,2026-08-23T06:45:58.414113+00:00
CPGRAMS Appeal,61,Ministry of Home Affairs,ARVIND KHARE Jt. Secretary Co-ord,34089 4th Floor Kartavya Bhavan-3,01124010034 jscpg-mha[at]nic[dot]in,https://pgportal.gov.in/Home/NodalAuthorityForAppeal,2026-08-23T06:45:58.414113+00:00
CPGRAMS Appeal,62,Ministry of Housing and Urban Affairs,Shri Dinesh Kapila EA,"Room No. 232-C,Nirman Bhawan, New Delh",01123062387 dinesh.kapila[at]nic[dot]in,https://pgportal.gov.in/Home/NodalAuthorityForAppeal,2026-08-23T06:45:58.414113+00:00
CPGRAMS Appeal,63,Ministry of Information and Broadcasting,Shri Rabindra Kumar Jena Senior Economic Adviser,"Room No. 657, A Wing, Shastri Bhawan, New Delhi",01123383857 rk.jena[at]gov[dot]in,https://pgportal.gov.in/Home/NodalAuthorityForAppeal,2026-08-23T06:45:58.414113+00:00
CPGRAMS Appeal,64,Ministry of Labour and Employment,Shefali Dhingra Economic Advisor,"Ministry of Labour and Employment, Room No.312, Shram Shakti Bhawan, Rafi Marg,New Delhi",01123737510 ecoadvisor-mole[at]gov[dot]in,https://pgportal.gov.in/Home/NodalAuthorityForAppeal,2026-08-23T06:45:58.414113+00:00
CPGRAMS Appeal,65,Ministry of Micro Small and Medium Enterprises,Sh. Ateesh Kumar Singh Joint Secretary,"Ministry of Micro Small and Medium Enterprises Room No. 49, Ground Floor Udyog Bhawan New Delhi",01123062081 js-msme[at]gov[dot]in,https://pgportal.gov.in/Home/NodalAuthorityForAppeal,2026-08-23T06:45:58.414113+00:00
CPGRAMS Appeal,66,Ministry of Mines,Smt Sushama Batra Deputy Secretary- PG&PI,"Zone 3, 4th Floor, GPOA-3 Building, Netaji Nagar, New Delhi",01123382159 sushma.batra[at]gov[dot]in,https://pgportal.gov.in/Home/NodalAuthorityForAppeal,2026-08-23T06:45:58.414113+00:00
CPGRAMS Appeal,67,Ministry of Minority Affairs,Shri Shyama Prasad Roy Joint Secretary,"Ministry of Minority Affairs , Pt Deen Dayal Antoydaya Bhawan, CGO Complex, Lodhi Road, New Delhi",01124364270 ddg-mma[at]gov[dot]in,https://pgportal.gov.in/Home/NodalAuthorityForAppeal,2026-08-23T06:45:58.414113+00:00
CPGRAMS Appeal,68,Ministry of New and Renewable Energy,Mini Prasannakumar DDG,"Room No. 615, AAUB, Opposite CGO Complex, Lodhi Road",01120849138 miniprasanna.k[at]nic[dot]in,https://pgportal.gov.in/Home/NodalAuthorityForAppeal,2026-08-23T06:45:58.414113+00:00
CPGRAMS Appeal,69,Ministry of Panchayati Raj,Shri Rajesh Kumar Singh Joint Secretary,"9th Floor, Jeevan Bharati Building, New Delhi",01123725305 mopr-js[at]gov[dot]in,https://pgportal.gov.in/Home/NodalAuthorityForAppeal,2026-08-23T06:45:58.414113+00:00
CPGRAMS Appeal,70,Ministry of Parliamentary Affairs,Dr. Satya Prakash Additional Secretary,"R.No.87, Parliament House,New Delhi",01123034734 asmpa[at]gov[dot]in,https://pgportal.gov.in/Home/NodalAuthorityForAppeal,2026-08-23T06:45:58.414113+00:00
CPGRAMS Appeal,71,Ministry of Petroleum and Natural Gas,RTI PG Section DS PG,"Shastri Bhawan,New Delhi",01122488624 pande.ravi04[at]nic[dot]in,https://pgportal.gov.in/Home/NodalAuthorityForAppeal,2026-08-23T06:45:58.414113+00:00
CPGRAMS Appeal,72,Ministry of Power,Smt. Reetu Jain Economic Adviser,"Room No. 427, C-Wing, Ministry of Power, Shram Shakti Bhawan, Rafi Marg, New Delhi",01123715378 ea-mop[at]gov[dot]in,https://pgportal.gov.in/Home/NodalAuthorityForAppeal,2026-08-23T06:45:58.414113+00:00
CPGRAMS Appeal,73,Ministry of Railways ( Railway Board),Shri Deepak Kumar Jha Additional Member Commercial,"Ministry of Railways , Rail Bhawan New Delhi",01123382112 amc[at]rb.railnet.gov[dot]in,https://pgportal.gov.in/Home/NodalAuthorityForAppeal,2026-08-23T06:45:58.414113+00:00
CPGRAMS Appeal,74,Ministry of Road Transport and Highways,Sh. C.N. Singh Joint Secretary,"Room No. 322 , Transport Bhawan,Sansad Marg, New Delhi",01123753991 js.morth[at]gov[dot]in,https://pgportal.gov.in/Home/NodalAuthorityForAppeal,2026-08-23T06:45:58.414113+00:00
CPGRAMS Appeal,75,Ministry of Shipping,Sh. Sandeep Kumar Gupta Joint Secretary -Coordination,New Delhi,01123354007 jsadmin-psw[at]gov[dot]in,https://pgportal.gov.in/Home/NodalAuthorityForAppeal,2026-08-23T06:45:58.414113+00:00
CPGRAMS Appeal,76,Ministry of Skill Development and Entrepreneurship,Ms. Archana Mayaram Economic Advisor,"Ministry of Skill Development and Entrepreneurship Room No.311, Kaushal Bhawan, New Moti Bagh, New Delhi",01126773311 archana.mayaram[at]gov[dot]in,https://pgportal.gov.in/Home/NodalAuthorityForAppeal,2026-08-23T06:45:58.414113+00:00
CPGRAMS Appeal,77,Ministry of Statistics and Programme Implementation,Sh. Aashish Kumar Gupta JOINT SECRETARY,"Ministry of Statistics and Programme Implementation, Room no. 309, Khurshid Lal Bhawan, Janpath, New Delhi",01123455325 akgupta2[at]ord.gov[dot]in,https://pgportal.gov.in/Home/NodalAuthorityForAppeal,2026-08-23T06:45:58.414113+00:00
CPGRAMS Appeal,78,Ministry of Steel,Shri Daya Nidhan Pandey Joint Secretary,"Ministry of Steel Udyog Bhawan, New Delhi",01123063170 dn.pandey74[at]ias.nic[dot]in,https://pgportal.gov.in/Home/NodalAuthorityForAppeal,2026-08-23T06:45:58.414113+00:00
CPGRAMS Appeal,79,Ministry of Textiles,Shri Akhilesh Kumar Deputy Director General,"Udyog Bhawan, New Delhi",01123062109 akhilesh.kumar99[at]gov[dot]in,https://pgportal.gov.in/Home/NodalAuthorityForAppeal,2026-08-23T06:45:58.414113+00:00
CPGRAMS Appeal,80,Ministry of Tourism,Anubhav Saxena Deputy Secretary,"2nd Floor PTI Building, Sansad Marg, New Delhi, Delhi 110001",01123724166 anubhav.saxena35[at]gov[dot]in,https://pgportal.gov.in/Home/NodalAuthorityForAppeal,2026-08-23T06:45:58.414113+00:00
CPGRAMS Appeal,81,Ministry of Tribal Affairs,Ms. Athira S. Babu Economic Advisor,"Ministry of Tribal Affair, Jeevan Tara Building, New Delhi",01123340005 athira.babu[at]gov[dot]in,https://pgportal.gov.in/Home/NodalAuthorityForAppeal,2026-08-23T06:45:58.414113+00:00
CPGRAMS Appeal,82,"Ministry of Water Resources, River Development & Ganga Rejuvenation",Shri Karan Singh Joint Secretary A IC and GW,"Room No 403, Shram Shakti Bhawan, New Delhi",01123714609 jsadmn-mowr[at]nic[dot]in,https://pgportal.gov.in/Home/NodalAuthorityForAppeal,2026-08-23T06:45:58.414113+00:00
CPGRAMS Appeal,83,Ministry of Women and Child Development,Shri Valeti Premchand Additional Secretary,"Room No. 628 A, Shastri Bhawan , Ministry of Woman and Child Development New Delhi",01123380641 premchand.v[at]gov[dot]in,https://pgportal.gov.in/Home/NodalAuthorityForAppeal,2026-08-23T06:45:58.414113+00:00
CPGRAMS Appeal,84,NITI Aayog,Shri K S Rejimon Joint Secretary,"RoomNo. 233 NITI Aayog, Sansad Marg, New Delhi",01123096545 ks.rejimon[at]nic[dot]in,https://pgportal.gov.in/Home/NodalAuthorityForAppeal,2026-08-23T06:45:58.414113+00:00
CPGRAMS Appeal,85,O/o the Comptroller & Auditor General of India,SHRI SAURABH NARAIN Director General,"O/o the Comptroller And Auditor General of India, 9, Deen Dayal Upadhayaya Marg, New Delhi",01123236776 dgstaff[at]cag.gov[dot]in,https://pgportal.gov.in/Home/NodalAuthorityForAppeal,2026-08-23T06:45:58.414113+00:00
CPGRAMS Appeal,86,Securities and Exchange Board of India,Shri Krishnanand Raghavan Chief General Manager,"OIAE-IGRD, Securities and Exchange Board of India SEBI Bhavan, II BKC, Plot No. C-7, G Block, Bandra Kurla Complex, Bandra East, Mumbai, Maharashtra",02226449632 krishnanandr[at]sebi.gov[dot]in,https://pgportal.gov.in/Home/NodalAuthorityForAppeal,2026-08-23T06:45:58.414113+00:00
CPGRAMS Appeal,87,Staff Selection Commission,Sh. RAJIV SRIVASTAVA Member,"Block No. 12, CGO Complex, Lodhi Road, New Delhi",01124362242 member1[at]ssc.nic[dot]in,https://pgportal.gov.in/Home/NodalAuthorityForAppeal,2026-08-23T06:45:58.414113+00:00
CPGRAMS Appeal,88,Unique Identification Authority of India,Shri Neeraj Kumar Director CRM Division,"Unique Identification Authority of India, 6th Floor, UIDAI Headquarter Building, Bangla Sahib Road, Gole Market, New Delhi",01123478453 dir.crm-hq[at]uidai.net[dot]in,https://pgportal.gov.in/Home/NodalAuthorityForAppeal,2026-08-23T06:45:58.414113+00:00
