name,in_cpgrams_nodal_pg,in_cpgrams_appeal,nodal_source_url,appeal_source_url,fetched_at_utc
Coal,yes,no,https://pgportal.gov.in/Home/NodalPgOfficers,https://pgportal.gov.in/Home/NodalAuthorityForAppeal,2026-08-23T06:45:58.414113+00:00
Commerce,yes,no,https://pgportal.gov.in/Home/NodalPgOfficers,https://pgportal.gov.in/Home/NodalAuthorityForAppeal,2026-08-23T06:45:58.414113+00:00
Consumer Affairs,yes,no,https://pgportal.gov.in/Home/NodalPgOfficers,https://pgportal.gov.in/Home/NodalAuthorityForAppeal,2026-08-23T06:45:58.414113+00:00
Cooperation,yes,no,https://pgportal.gov.in/Home/NodalPgOfficers,https://pgportal.gov.in/Home/NodalAuthorityForAppeal,2026-08-23T06:45:58.414113+00:00
Corporate Affairs,yes,no,https://pgportal.gov.in/Home/NodalPgOfficers,https://pgportal.gov.in/Home/NodalAuthorityForAppeal,2026-08-23T06:45:58.414113+00:00
Culture,yes,no,https://pgportal.gov.in/Home/NodalPgOfficers,https://pgportal.gov.in/Home/NodalAuthorityForAppeal,2026-08-23T06:45:58.414113+00:00
Defence,yes,no,https://pgportal.gov.in/Home/NodalPgOfficers,https://pgportal.gov.in/Home/NodalAuthorityForAppeal,2026-08-23T06:45:58.414113+00:00
Defence Finance,yes,no,https://pgportal.gov.in/Home/NodalPgOfficers,https://pgportal.gov.in/Home/NodalAuthorityForAppeal,2026-08-23T06:45:58.414113+00:00
Defence Production,yes,no,https://pgportal.gov.in/Home/NodalPgOfficers,https://pgportal.gov.in/Home/NodalAuthorityForAppeal,2026-08-23T06:45:58.414113+00:00
Defence Research and Development,yes,no,https://pgportal.gov.in/Home/NodalPgOfficers,https://pgportal.gov.in/Home/NodalAuthorityForAppeal,2026-08-23T06:45:58.414113+00:00
Department for Promotion of Industry and Internal Trade,no,yes,https://pgportal.gov.in/Home/NodalPgOfficers,https://pgportal.gov.in/Home/NodalAuthorityForAppeal,2026-08-23T06:45:58.414113+00:00
Department of Agriculture and Farmers Welfare,no,yes,https://pgportal.gov.in/Home/NodalPgOfficers,https://pgportal.gov.in/Home/NodalAuthorityForAppeal,2026-08-23T06:45:58.414113+00:00
Department of Agriculture Research and Education,no,yes,https://pgportal.gov.in/Home/NodalPgOfficers,https://pgportal.gov.in/Home/NodalAuthorityForAppeal,2026-08-23T06:45:58.414113+00:00
"Department of Animal Husbandry, Dairying",no,yes,https://pgportal.gov.in/Home/NodalPgOfficers,https://pgportal.gov.in/Home/NodalAuthorityForAppeal,2026-08-23T06:45:58.414113+00:00
Department of Atomic Energy,no,yes,https://pgportal.gov.in/Home/NodalPgOfficers,https://pgportal.gov.in/Home/NodalAuthorityForAppeal,2026-08-23T06:45:58.414113+00:00
Department of Bio Technology,no,yes,https://pgportal.gov.in/Home/NodalPgOfficers,https://pgportal.gov.in/Home/NodalAuthorityForAppeal,2026-08-23T06:45:58.414113+00:00
Department of Chemicals and Petrochemicals,no,yes,https://pgportal.gov.in/Home/NodalPgOfficers,https://pgportal.gov.in/Home/NodalAuthorityForAppeal,2026-08-23T06:45:58.414113+00:00
Department of Commerce,no,yes,https://pgportal.gov.in/Home/NodalPgOfficers,https://pgportal.gov.in/Home/NodalAuthorityForAppeal,2026-08-23T06:45:58.414113+00:00
Department of Consumer Affairs,no,yes,https://pgportal.gov.in/Home/NodalPgOfficers,https://pgportal.gov.in/Home/NodalAuthorityForAppeal,2026-08-23T06:45:58.414113+00:00
Department of Defence Finance,no,yes,https://pgportal.gov.in/Home/NodalPgOfficers,https://pgportal.gov.in/Home/NodalAuthorityForAppeal,2026-08-23T06:45:58.414113+00:00
Department of Defence Production,no,yes,https://pgportal.gov.in/Home/NodalPgOfficers,https://pgportal.gov.in/Home/NodalAuthorityForAppeal,2026-08-23T06:45:58.414113+00:00
Department of Defence Research and Development,no,yes,https://pgportal.gov.in/Home/NodalPgOfficers,https://pgportal.gov.in/Home/NodalAuthorityForAppeal,2026-08-23T06:45:58.414113+00:00
Department of Economic Affairs ACC Division,no,yes,https://pgportal.gov.in/Home/NodalPgOfficers,https://pgportal.gov.in/Home/NodalAuthorityForAppeal,2026-08-23T06:45:58.414113+00:00
Department of Empowerment of Persons with Disabilities,no,yes,https://pgportal.gov.in/Home/NodalPgOfficers,https://pgportal.gov.in/Home/NodalAuthorityForAppeal,2026-08-23T06:45:58.414113+00:00
Department of Ex Servicemen Welfare,no,yes,https://pgportal.gov.in/Home/NodalPgOfficers,https://pgportal.gov.in/Home/NodalAuthorityForAppeal,2026-08-23T06:45:58.414113+00:00
Department of Expenditure,no,yes,https://pgportal.gov.in/Home/NodalPgOfficers,https://pgportal.gov.in/Home/NodalAuthorityForAppeal,2026-08-23T06:45:58.414113+00:00
Department of Fertilizers,no,yes,https://pgportal.gov.in/Home/NodalPgOfficers,https://pgportal.gov.in/Home/NodalAuthorityForAppeal,2026-08-23T06:45:58.414113+00:00
Department of Financial Services (Banking Division),no,yes,https://pgportal.gov.in/Home/NodalPgOfficers,https://pgportal.gov.in/Home/NodalAuthorityForAppeal,2026-08-23T06:45:58.414113+00:00
Department of Financial Services (Insurance Division),no,yes,https://pgportal.gov.in/Home/NodalPgOfficers,https://pgportal.gov.in/Home/NodalAuthorityForAppeal,2026-08-23T06:45:58.414113+00:00
Department of Financial Services (Pension Reforms),no,yes,https://pgportal.gov.in/Home/NodalPgOfficers,https://pgportal.gov.in/Home/NodalAuthorityForAppeal,2026-08-23T06:45:58.414113+00:00
Department of Fisheries,no,yes,https://pgportal.gov.in/Home/NodalPgOfficers,https://pgportal.gov.in/Home/NodalAuthorityForAppeal,2026-08-23T06:45:58.414113+00:00
Department of Food and Public Distribution,no,yes,https://pgportal.gov.in/Home/NodalPgOfficers,https://pgportal.gov.in/Home/NodalAuthorityForAppeal,2026-08-23T06:45:58.414113+00:00
Department of Health & Family Welfare,no,yes,https://pgportal.gov.in/Home/NodalPgOfficers,https://pgportal.gov.in/Home/NodalAuthorityForAppeal,2026-08-23T06:45:58.414113+00:00
Department of Health Research,no,yes,https://pgportal.gov.in/Home/NodalPgOfficers,https://pgportal.gov.in/Home/NodalAuthorityForAppeal,2026-08-23T06:45:58.414113+00:00
Department of Higher Education,no,yes,https://pgportal.gov.in/Home/NodalPgOfficers,https://pgportal.gov.in/Home/NodalAuthorityForAppeal,2026-08-23T06:45:58.414113+00:00
Department of Investment & Public Asset Management,no,yes,https://pgportal.gov.in/Home/NodalPgOfficers,https://pgportal.gov.in/Home/NodalAuthorityForAppeal,2026-08-23T06:45:58.414113+00:00
Department of Justice,no,yes,https://pgportal.gov.in/Home/NodalPgOfficers,https://pgportal.gov.in/Home/NodalAuthorityForAppeal,2026-08-23T06:45:58.414113+00:00
Department of Land Resources,no,yes,https://pgportal.gov.in/Home/NodalPgOfficers,https://pgportal.gov.in/Home/NodalAuthorityForAppeal,2026-08-23T06:45:58.414113+00:00
Department of Military Affairs,no,yes,https://pgportal.gov.in/Home/NodalPgOfficers,https://pgportal.gov.in/Home/NodalAuthorityForAppeal,2026-08-23T06:45:58.414113+00:00
Department of Official Language,no,yes,https://pgportal.gov.in/Home/NodalPgOfficers,https://pgportal.gov.in/Home/NodalAuthorityForAppeal,2026-08-23T06:45:58.414113+00:00
Department of Pension and Pensioners Welfare,no,yes,https://pgportal.gov.in/Home/NodalPgOfficers,https://pgportal.gov.in/Home/NodalAuthorityForAppeal,2026-08-23T06:45:58.414113+00:00
Department of Personnel and Training,no,yes,https://pgportal.gov.in/Home/NodalPgOfficers,https://pgportal.gov.in/Home/NodalAuthorityForAppeal,2026-08-23T06:45:58.414113+00:00
Department of Pharmaceuticals,no,yes,https://pgportal.gov.in/Home/NodalPgOfficers,https://pgportal.gov.in/Home/NodalAuthorityForAppeal,2026-08-23T06:45:58.414113+00:00
Department of Posts,no,yes,https://pgportal.gov.in/Home/NodalPgOfficers,https://pgportal.gov.in/Home/NodalAuthorityForAppeal,2026-08-23T06:45:58.414113+00:00
Department of Revenue,no,yes,https://pgportal.gov.in/Home/NodalPgOfficers,https://pgportal.gov.in/Home/NodalAuthorityForAppeal,2026-08-23T06:45:58.414113+00:00
Department of Rural Development,no,yes,https://pgportal.gov.in/Home/NodalPgOfficers,https://pgportal.gov.in/Home/NodalAuthorityForAppeal,2026-08-23T06:45:58.414113+00:00
Department of School Education and Literacy,no,yes,https://pgportal.gov.in/Home/NodalPgOfficers,https://pgportal.gov.in/Home/NodalAuthorityForAppeal,2026-08-23T06:45:58.414113+00:00
Department of Science and Technology,no,yes,https://pgportal.gov.in/Home/NodalPgOfficers,https://pgportal.gov.in/Home/NodalAuthorityForAppeal,2026-08-23T06:45:58.414113+00:00
Department of Scientific & Industrial Research,no,yes,https://pgportal.gov.in/Home/NodalPgOfficers,https://pgportal.gov.in/Home/NodalAuthorityForAppeal,2026-08-23T06:45:58.414113+00:00
Department of Social Justice and Empowerment,no,yes,https://pgportal.gov.in/Home/NodalPgOfficers,https://pgportal.gov.in/Home/NodalAuthorityForAppeal,2026-08-23T06:45:58.414113+00:00
Department of Space,no,yes,https://pgportal.gov.in/Home/NodalPgOfficers,https://pgportal.gov.in/Home/NodalAuthorityForAppeal,2026-08-23T06:45:58.414113+00:00
Department of Sports,no,yes,https://pgportal.gov.in/Home/NodalPgOfficers,https://pgportal.gov.in/Home/NodalAuthorityForAppeal,2026-08-23T06:45:58.414113+00:00
Department of Telecommunications,no,yes,https://pgportal.gov.in/Home/NodalPgOfficers,https://pgportal.gov.in/Home/NodalAuthorityForAppeal,2026-08-23T06:45:58.414113+00:00
Department of Youth Affairs,no,yes,https://pgportal.gov.in/Home/NodalPgOfficers,https://pgportal.gov.in/Home/NodalAuthorityForAppeal,2026-08-23T06:45:58.414113+00:00
Development of North Eastern Region,yes,no,https://pgportal.gov.in/Home/NodalPgOfficers,https://pgportal.gov.in/Home/NodalAuthorityForAppeal,2026-08-23T06:45:58.414113+00:00
Drinking Water and Sanitation,yes,no,https://pgportal.gov.in/Home/NodalPgOfficers,https://pgportal.gov.in/Home/NodalAuthorityForAppeal,2026-08-23T06:45:58.414113+00:00
Earth Sciences,yes,no,https://pgportal.gov.in/Home/NodalPgOfficers,https://pgportal.gov.in/Home/NodalAuthorityForAppeal,2026-08-23T06:45:58.414113+00:00
Economic Affairs,yes,no,https://pgportal.gov.in/Home/NodalPgOfficers,https://pgportal.gov.in/Home/NodalAuthorityForAppeal,2026-08-23T06:45:58.414113+00:00
Electronics & Information Technology,yes,no,https://pgportal.gov.in/Home/NodalPgOfficers,https://pgportal.gov.in/Home/NodalAuthorityForAppeal,2026-08-23T06:45:58.414113+00:00
Empowerment of Persons with Disabilities,yes,no,https://pgportal.gov.in/Home/NodalPgOfficers,https://pgportal.gov.in/Home/NodalAuthorityForAppeal,2026-08-23T06:45:58.414113+00:00
"Environment, Forest and Climate Change",yes,no,https://pgportal.gov.in/Home/NodalPgOfficers,https://pgportal.gov.in/Home/NodalAuthorityForAppeal,2026-08-23T06:45:58.414113+00:00
Ex Servicemen Welfare,yes,no,https://pgportal.gov.in/Home/NodalPgOfficers,https://pgportal.gov.in/Home/NodalAuthorityForAppeal,2026-08-23T06:45:58.414113+00:00
Expenditure,yes,no,https://pgportal.gov.in/Home/NodalPgOfficers,https://pgportal.gov.in/Home/NodalAuthorityForAppeal,2026-08-23T06:45:58.414113+00:00
External Affairs,yes,no,https://pgportal.gov.in/Home/NodalPgOfficers,https://pgportal.gov.in/Home/NodalAuthorityForAppeal,2026-08-23T06:45:58.414113+00:00
Fertilizers,yes,no,https://pgportal.gov.in/Home/NodalPgOfficers,https://pgportal.gov.in/Home/NodalAuthorityForAppeal,2026-08-23T06:45:58.414113+00:00
Financial Services (Banking Division),yes,no,https://pgportal.gov.in/Home/NodalPgOfficers,https://pgportal.gov.in/Home/NodalAuthorityForAppeal,2026-08-23T06:45:58.414113+00:00
Financial Services (Insurance Division),yes,no,https://pgportal.gov.in/Home/NodalPgOfficers,https://pgportal.gov.in/Home/NodalAuthorityForAppeal,2026-08-23T06:45:58.414113+00:00
Financial Services (Pension Reforms),yes,no,https://pgportal.gov.in/Home/NodalPgOfficers,https://pgportal.gov.in/Home/NodalAuthorityForAppeal,2026-08-23T06:45:58.414113+00:00
Fisheries,yes,no,https://pgportal.gov.in/Home/NodalPgOfficers,https://pgportal.gov.in/Home/NodalAuthorityForAppeal,2026-08-23T06:45:58.414113+00:00
Food and Public Distribution,yes,no,https://pgportal.gov.in/Home/NodalPgOfficers,https://pgportal.gov.in/Home/NodalAuthorityForAppeal,2026-08-23T06:45:58.414113+00:00
Food Processing Industries,yes,no,https://pgportal.gov.in/Home/NodalPgOfficers,https://pgportal.gov.in/Home/NodalAuthorityForAppeal,2026-08-23T06:45:58.414113+00:00
Health & Family Welfare,yes,no,https://pgportal.gov.in/Home/NodalPgOfficers,https://pgportal.gov.in/Home/NodalAuthorityForAppeal,2026-08-23T06:45:58.414113+00:00
Health Research,yes,no,https://pgportal.gov.in/Home/NodalPgOfficers,https://pgportal.gov.in/Home/NodalAuthorityForAppeal,2026-08-23T06:45:58.414113+00:00
Heavy Industry,yes,no,https://pgportal.gov.in/Home/NodalPgOfficers,https://pgportal.gov.in/Home/NodalAuthorityForAppeal,2026-08-23T06:45:58.414113+00:00
Higher Education,yes,no,https://pgportal.gov.in/Home/NodalPgOfficers,https://pgportal.gov.in/Home/NodalAuthorityForAppeal,2026-08-23T06:45:58.414113+00:00
Home Affairs,yes,no,https://pgportal.gov.in/Home/NodalPgOfficers,https://pgportal.gov.in/Home/NodalAuthorityForAppeal,2026-08-23T06:45:58.414113+00:00
Housing and Urban Affairs,yes,no,https://pgportal.gov.in/Home/NodalPgOfficers,https://pgportal.gov.in/Home/NodalAuthorityForAppeal,2026-08-23T06:45:58.414113+00:00
Information and Broadcasting,yes,no,https://pgportal.gov.in/Home/NodalPgOfficers,https://pgportal.gov.in/Home/NodalAuthorityForAppeal,2026-08-23T06:45:58.414113+00:00
Investment & Public Asset Management,yes,no,https://pgportal.gov.in/Home/NodalPgOfficers,https://pgportal.gov.in/Home/NodalAuthorityForAppeal,2026-08-23T06:45:58.414113+00:00
Justice,yes,no,https://pgportal.gov.in/Home/NodalPgOfficers,https://pgportal.gov.in/Home/NodalAuthorityForAppeal,2026-08-23T06:45:58.414113+00:00
Labour and Employment,yes,no,https://pgportal.gov.in/Home/NodalPgOfficers,https://pgportal.gov.in/Home/NodalAuthorityForAppeal,2026-08-23T06:45:58.414113+00:00
Land Resources,yes,no,https://pgportal.gov.in/Home/NodalPgOfficers,https://pgportal.gov.in/Home/NodalAuthorityForAppeal,2026-08-23T06:45:58.414113+00:00
Legal Affairs,yes,no,https://pgportal.gov.in/Home/NodalPgOfficers,https://pgportal.gov.in/Home/NodalAuthorityForAppeal,2026-08-23T06:45:58.414113+00:00
Legislative Department,yes,yes,https://pgportal.gov.in/Home/NodalPgOfficers,https://pgportal.gov.in/Home/NodalAuthorityForAppeal,2026-08-23T06:45:58.414113+00:00
Micro Small and Medium Enterprises,yes,no,https://pgportal.gov.in/Home/NodalPgOfficers,https://pgportal.gov.in/Home/NodalAuthorityForAppeal,2026-08-23T06:45:58.414113+00:00
Military Affairs,yes,no,https://pgportal.gov.in/Home/NodalPgOfficers,https://pgportal.gov.in/Home/NodalAuthorityForAppeal,2026-08-23T06:45:58.414113+00:00
Mines,yes,no,https://pgportal.gov.in/Home/NodalPgOfficers,https://pgportal.gov.in/Home/NodalAuthorityForAppeal,2026-08-23T06:45:58.414113+00:00
Ministry of Ayush,no,yes,https://pgportal.gov.in/Home/NodalPgOfficers,https://pgportal.gov.in/Home/NodalAuthorityForAppeal,2026-08-23T06:45:58.414113+00:00
Ministry of Civil Aviation,no,yes,https://pgportal.gov.in/Home/NodalPgOfficers,https://pgportal.gov.in/Home/NodalAuthorityForAppeal,2026-08-23T06:45:58.414113+00:00
Ministry of Cooperation,no,yes,https://pgportal.gov.in/Home/NodalPgOfficers,https://pgportal.gov.in/Home/NodalAuthorityForAppeal,2026-08-23T06:45:58.414113+00:00
Ministry of Corporate Affairs,no,yes,https://pgportal.gov.in/Home/NodalPgOfficers,https://pgportal.gov.in/Home/NodalAuthorityForAppeal,2026-08-23T06:45:58.414113+00:00
Ministry of Culture,no,yes,https://pgportal.gov.in/Home/NodalPgOfficers,https://pgportal.gov.in/Home/NodalAuthorityForAppeal,2026-08-23T06:45:58.414113+00:00
Ministry of Development of North Eastern Region,no,yes,https://pgportal.gov.in/Home/NodalPgOfficers,https://pgportal.gov.in/Home/NodalAuthorityForAppeal,2026-08-23T06:45:58.414113+00:00
Ministry of Drinking Water and Sanitation,no,yes,https://pgportal.gov.in/Home/NodalPgOfficers,https://pgportal.gov.in/Home/NodalAuthorityForAppeal,2026-08-23T06:45:58.414113+00:00
Ministry of Earth Sciences,no,yes,https://pgportal.gov.in/Home/NodalPgOfficers,https://pgportal.gov.in/Home/NodalAuthorityForAppeal,2026-08-23T06:45:58.414113+00:00
Ministry of Electronics & Information Technology,no,yes,https://pgportal.gov.in/Home/NodalPgOfficers,https://pgportal.gov.in/Home/NodalAuthorityForAppeal,2026-08-23T06:45:58.414113+00:00
"Ministry of Environment, Forest and Climate Change",no,yes,https://pgportal.gov.in/Home/NodalPgOfficers,https://pgportal.gov.in/Home/NodalAuthorityForAppeal,2026-08-23T06:45:58.414113+00:00
Ministry of External Affairs,no,yes,https://pgportal.gov.in/Home/NodalPgOfficers,https://pgportal.gov.in/Home/NodalAuthorityForAppeal,2026-08-23T06:45:58.414113+00:00
Ministry of Food Processing Industries,no,yes,https://pgportal.gov.in/Home/NodalPgOfficers,https://pgportal.gov.in/Home/NodalAuthorityForAppeal,2026-08-23T06:45:58.414113+00:00
Ministry of Heavy Industries,no,yes,https://pgportal.gov.in/Home/NodalPgOfficers,https://pgportal.gov.in/Home/NodalAuthorityForAppeal,2026-08-23T06:45:58.414113+00:00
Ministry of Home Affairs,no,yes,https://pgportal.gov.in/Home/NodalPgOfficers,https://pgportal.gov.in/Home/NodalAuthorityForAppeal,2026-08-23T06:45:58.414113+00:00
Ministry of Housing and Urban Affairs,no,yes,https://pgportal.gov.in/Home/NodalPgOfficers,https://pgportal.gov.in/Home/NodalAuthorityForAppeal,2026-08-23T06:45:58.414113+00:00
Ministry of Information and Broadcasting,no,yes,https://pgportal.gov.in/Home/NodalPgOfficers,https://pgportal.gov.in/Home/NodalAuthorityForAppeal,2026-08-23T06:45:58.414113+00:00
Ministry of Labour and Employment,no,yes,https://pgportal.gov.in/Home/NodalPgOfficers,https://pgportal.gov.in/Home/NodalAuthorityForAppeal,2026-08-23T06:45:58.414113+00:00
Ministry of Micro Small and Medium Enterprises,no,yes,https://pgportal.gov.in/Home/NodalPgOfficers,https://pgportal.gov.in/Home/NodalAuthorityForAppeal,2026-08-23T06:45:58.414113+00:00
Ministry of Mines,no,yes,https://pgportal.gov.in/Home/NodalPgOfficers,https://pgportal.gov.in/Home/NodalAuthorityForAppeal,2026-08-23T06:45:58.414113+00:00
Ministry of Minority Affairs,no,yes,https://pgportal.gov.in/Home/NodalPgOfficers,https://pgportal.gov.in/Home/NodalAuthorityForAppeal,2026-08-23T06:45:58.414113+00:00
Ministry of New and Renewable Energy,no,yes,https://pgportal.gov.in/Home/NodalPgOfficers,https://pgportal.gov.in/Home/NodalAuthorityForAppeal,2026-08-23T06:45:58.414113+00:00
Ministry of Panchayati Raj,no,yes,https://pgportal.gov.in/Home/NodalPgOfficers,https://pgportal.gov.in/Home/NodalAuthorityForAppeal,2026-08-23T06:45:58.414113+00:00
Ministry of Parliamentary Affairs,no,yes,https://pgportal.gov.in/Home/NodalPgOfficers,https://pgportal.gov.in/Home/NodalAuthorityForAppeal,2026-08-23T06:45:58.414113+00:00
Ministry of Petroleum and Natural Gas,no,yes,https://pgportal.gov.in/Home/NodalPgOfficers,https://pgportal.gov.in/Home/NodalAuthorityForAppeal,2026-08-23T06:45:58.414113+00:00
Ministry of Power,no,yes,https://pgportal.gov.in/Home/NodalPgOfficers,https://pgportal.gov.in/Home/NodalAuthorityForAppeal,2026-08-23T06:45:58.414113+00:00
Ministry of Railways ( Railway Board),no,yes,https://pgportal.gov.in/Home/NodalPgOfficers,https://pgportal.gov.in/Home/NodalAuthorityForAppeal,2026-08-23T06:45:58.414113+00:00
Ministry of Road Transport and Highways,no,yes,https://pgportal.gov.in/Home/NodalPgOfficers,https://pgportal.gov.in/Home/NodalAuthorityForAppeal,2026-08-23T06:45:58.414113+00:00
Ministry of Shipping,no,yes,https://pgportal.gov.in/Home/NodalPgOfficers,https://pgportal.gov.in/Home/NodalAuthorityForAppeal,2026-08-23T06:45:58.414113+00:00
Ministry of Skill Development and Entrepreneurship,no,yes,https://pgportal.gov.in/Home/NodalPgOfficers,https://pgportal.gov.in/Home/NodalAuthorityForAppeal,2026-08-23T06:45:58.414113+00:00
Ministry of Statistics and Programme Implementation,no,yes,https://pgportal.gov.in/Home/NodalPgOfficers,https://pgportal.gov.in/Home/NodalAuthorityForAppeal,2026-08-23T06:45:58.414113+00:00
Ministry of Steel,no,yes,https://pgportal.gov.in/Home/NodalPgOfficers,https://pgportal.gov.in/Home/NodalAuthorityForAppeal,2026-08-23T06:45:58.414113+00:00
Ministry of Textiles,no,yes,https://pgportal.gov.in/Home/NodalPgOfficers,https://pgportal.gov.in/Home/NodalAuthorityForAppeal,2026-08-23T06:45:58.414113+00:00
Ministry of Tourism,no,yes,https://pgportal.gov.in/Home/NodalPgOfficers,https://pgportal.gov.in/Home/NodalAuthorityForAppeal,2026-08-23T06:45:58.414113+00:00
Ministry of Tribal Affairs,no,yes,https://pgportal.gov.in/Home/NodalPgOfficers,https://pgportal.gov.in/Home/NodalAuthorityForAppeal,2026-08-23T06:45:58.414113+00:00
"Ministry of Water Resources, River Development & Ganga Rejuvenation",no,yes,https://pgportal.gov.in/Home/NodalPgOfficers,https://pgportal.gov.in/Home/NodalAuthorityForAppeal,2026-08-23T06:45:58.414113+00:00
Ministry of Women and Child Development,no,yes,https://pgportal.gov.in/Home/NodalPgOfficers,https://pgportal.gov.in/Home/NodalAuthorityForAppeal,2026-08-23T06:45:58.414113+00:00
Minority Affairs,yes,no,https://pgportal.gov.in/Home/NodalPgOfficers,https://pgportal.gov.in/Home/NodalAuthorityForAppeal,2026-08-23T06:45:58.414113+00:00
New and Renewable Energy,yes,no,https://pgportal.gov.in/Home/NodalPgOfficers,https://pgportal.gov.in/Home/NodalAuthorityForAppeal,2026-08-23T06:45:58.414113+00:00
NITI Aayog,yes,yes,https://pgportal.gov.in/Home/NodalPgOfficers,https://pgportal.gov.in/Home/NodalAuthorityForAppeal,2026-08-23T06:45:58.414113+00:00
O/o the Comptroller & Auditor General of India,yes,yes,https://pgportal.gov.in/Home/NodalPgOfficers,https://pgportal.gov.in/Home/NodalAuthorityForAppeal,2026-08-23T06:45:58.414113+00:00
Official Language,yes,no,https://pgportal.gov.in/Home/NodalPgOfficers,https://pgportal.gov.in/Home/NodalAuthorityForAppeal,2026-08-23T06:45:58.414113+00:00
Panchayati Raj,yes,no,https://pgportal.gov.in/Home/NodalPgOfficers,https://pgportal.gov.in/Home/NodalAuthorityForAppeal,2026-08-23T06:45:58.414113+00:00
Parliamentary Affairs,yes,no,https://pgportal.gov.in/Home/NodalPgOfficers,https://pgportal.gov.in/Home/NodalAuthorityForAppeal,2026-08-23T06:45:58.414113+00:00
Pensions and Pensioners Welfare,yes,no,https://pgportal.gov.in/Home/NodalPgOfficers,https://pgportal.gov.in/Home/NodalAuthorityForAppeal,2026-08-23T06:45:58.414113+00:00
Personnel and Training,yes,no,https://pgportal.gov.in/Home/NodalPgOfficers,https://pgportal.gov.in/Home/NodalAuthorityForAppeal,2026-08-23T06:45:58.414113+00:00
Petroleum and Natural Gas,yes,no,https://pgportal.gov.in/Home/NodalPgOfficers,https://pgportal.gov.in/Home/NodalAuthorityForAppeal,2026-08-23T06:45:58.414113+00:00
Pharmaceutical,yes,no,https://pgportal.gov.in/Home/NodalPgOfficers,https://pgportal.gov.in/Home/NodalAuthorityForAppeal,2026-08-23T06:45:58.414113+00:00
Posts,yes,no,https://pgportal.gov.in/Home/NodalPgOfficers,https://pgportal.gov.in/Home/NodalAuthorityForAppeal,2026-08-23T06:45:58.414113+00:00
Power,yes,no,https://pgportal.gov.in/Home/NodalPgOfficers,https://pgportal.gov.in/Home/NodalAuthorityForAppeal,2026-08-23T06:45:58.414113+00:00
Promotion of Industry and Internal Trade,yes,no,https://pgportal.gov.in/Home/NodalPgOfficers,https://pgportal.gov.in/Home/NodalAuthorityForAppeal,2026-08-23T06:45:58.414113+00:00
Public Enterprises,yes,no,https://pgportal.gov.in/Home/NodalPgOfficers,https://pgportal.gov.in/Home/NodalAuthorityForAppeal,2026-08-23T06:45:58.414113+00:00
"Railways, ( Railway Board)",yes,no,https://pgportal.gov.in/Home/NodalPgOfficers,https://pgportal.gov.in/Home/NodalAuthorityForAppeal,2026-08-23T06:45:58.414113+00:00
Revenue,yes,no,https://pgportal.gov.in/Home/NodalPgOfficers,https://pgportal.gov.in/Home/NodalAuthorityForAppeal,2026-08-23T06:45:58.414113+00:00
Road Transport and Highways,yes,no,https://pgportal.gov.in/Home/NodalPgOfficers,https://pgportal.gov.in/Home/NodalAuthorityForAppeal,2026-08-23T06:45:58.414113+00:00
